,FEDER_normalise,FSE_normalise
2014-01,0.0,0.0
2014-02,0.006646868988813877,0.000506795042872302
2014-03,0.014343710008973796,0.0017266186544368073
2014-04,0.0177160906903572,0.004491023315638271
2014-05,0.024081038758524968,0.0046471358332895885
2014-06,0.03886098766157092,0.01825330382278311
2014-07,0.05099552948935421,0.036563571383250976
2014-08,0.0543487610566102,0.0574170840973371
2014-09,0.06180914398619628,0.08808643725107226
2014-10,0.070924159809463,0.1037874281753986
2014-11,0.07635272178165962,0.11407175570153154
2014-12,0.0838919797017064,0.12085103413147798
2015-01,0.18247792215148465,0.547024796527799
2015-02,0.1914302422726863,0.5579448981007059
2015-03,0.20515425921738514,0.5701222648622806
2015-04,0.22407127589348655,0.5887223247717394
2015-05,0.2384657390897921,0.5971861867665764
2015-06,0.2698696497098373,0.6093598443441197
2015-07,0.30802105007164937,0.6542063834480588
2015-08,0.32237309803771635,0.6887063910475856
2015-09,0.35995432424112755,0.7304922221066281
2015-10,0.3929642545315418,0.7476304032358093
2015-11,0.42957679521416453,0.7551077047628079
2015-12,0.44661636643791713,0.7546308317328736
2016-01,0.5029242279658093,0.8447190570194111
2016-02,0.5122982291972846,0.8459078432284943
2016-03,0.5239978426116518,0.850262828979215
2016-04,0.5515475617996678,0.8549833556803507
2016-05,0.5715601034443194,0.8562549246553656
2016-06,0.6031834051613699,0.8635219720915429
2016-07,0.6137000200462532,0.8765719950686006
2016-08,0.6217087617642788,0.8785974049041052
2016-09,0.6568166163698987,0.9418692430646171
2016-10,0.6884582176020388,0.9492438929595626
2016-11,0.7060104400182193,0.9498373188711098
2016-12,0.733784552728537,0.9486747110306448
2017-01,0.7629574245570994,0.9582260995005419
2017-02,0.7736333910163025,0.9597103659025619
2017-03,0.7965072311014239,0.9621915483555044
2017-04,0.8087530622841279,0.9756533461088993
2017-05,0.8220742756973398,0.9762361377222162
2017-06,0.8497665523434779,0.9788188508844977
2017-07,0.8687341714612691,0.9661930637716052
2017-08,0.8708305786384659,0.9594916632704791
2017-09,0.8968282304950193,0.9982300016563567
2017-10,0.9102703571382018,1.0
2017-11,0.9177862973781473,0.9928532675213202
2017-12,0.9373588816410251,0.9812603115263107
2018-01,0.9071443038304399,0.8900056300447697
2018-02,0.9176733954091034,0.9189117648990581
2018-03,0.9371123391763001,0.9043326251424858
2018-04,0.9378376631166097,0.9078139147198074
2018-05,0.9373979261066445,0.9042786127966183
2018-06,0.9496961506534978,0.9061343514157222
2018-07,0.9475016865101005,0.828838501965546
2018-08,0.9473301384267128,0.8193455148186772
2018-09,0.981319824942776,0.8225499921653072
2018-10,0.9856060571687482,0.8282210097958695
2018-11,0.9911667430570438,0.8241021547155732
2018-12,1.0,0.8188683228736879
2019-01,0.9363922692989031,0.762958984211252
2019-02,0.9449776641304194,0.7637279331166661
2019-03,0.9538894884183192,0.740828154267835
2019-04,0.9598689135909537,0.7382287444297412
2019-05,0.9705365187036641,0.739843542119889
2019-06,0.9771367555553585,0.7524491448170665
2019-07,0.9615851431039057,0.7887380664546938
2019-08,0.9457111086885195,0.7723567529551085
2019-09,0.9600586589331531,0.7490360227969127
2019-10,0.9495135543366438,0.7379210201869607
2019-11,0.9431429906018306,0.7206946857769665
2019-12,0.9312340269624185,0.7183499232540403
2020-01,0.7779104731637008,0.4566252834944561
2020-02,0.7638943367281851,0.45688147906792553
2020-03,0.7668914617740693,0.4550933644927561
2020-04,0.7303444700109887,0.43627593618129223
2020-05,0.7037578224348077,0.4348024999621092
2020-06,0.6952085421303004,0.4324101457911545
2020-07,0.6428276432602661,0.4186470591424408
2020-08,0.6331630375877113,0.40560665339013957
2020-09,0.6136173472008651,0.38569933952706137
2020-10,0.5870039996795017,0.37629986357404294
2020-11,0.5661479834109107,0.3748420589700431
2020-12,0.5592192886281575,0.37447822791145824
